Issue Type,Summary,Epic Name,Epic Link,Priority,Story Points,Labels,Description
Epic,Prerequisites & Access,Prerequisites & Access,,Highest,,installation,"Establish the prerequisites, access and deployment decision needed before installing."
Epic,Local Installation,Local Installation,,High,,installation,"Install and run the tracker on a workstation or host."
Epic,Configuration,Configuration,,High,,installation,"Configure environment variables and paths for the target environment."
Epic,Data Migration,Data Migration,,High,,data,"Move existing tracker data into the application database and validate it."
Epic,Shared Deployment,Shared Deployment,,Medium,,deployment,"Deploy a single shared instance for the team (Model B only)."
Epic,Automation Integration,Automation Integration,,Medium,,automation,"Set up the optional job-hunt automation that feeds the tracker."
Epic,Validation & Acceptance,Validation & Acceptance,,High,,validation,"Verify the install works end to end and gain team sign-off."
Epic,Documentation & Handover,Documentation & Handover,,Medium,,docs,"Document operations and hand over to the team."
Task,Confirm system prerequisites,,Prerequisites & Access,High,2,installation,"Check Python 3.9+ and git are available on each target machine or host. AC: 1) python3 --version is 3.9 or higher; 2) git installed; 3) result recorded per machine."
Task,Grant repository access to the team,,Prerequisites & Access,High,1,installation,"Add each team member as a collaborator on the private repo. AC: 1) every member can clone the repo; 2) access list reviewed."
Task,Decide and record the deployment model,,Prerequisites & Access,Highest,2,installation,"Choose Model A (local per person) or Model B (shared instance) and document it. AC: 1) model chosen with rationale; 2) decision recorded; 3) dependent stories enabled or disabled."
Task,Provision host or VM for shared instance,,Prerequisites & Access,Medium,3,deployment,"Model B only. Provision a Linux host or container platform reachable by the team. AC: 1) host reachable; 2) Docker or Python runtime available; 3) network/VPN access confirmed."
Story,Clone repository and create virtual environment,,Local Installation,High,1,installation,"Clone the repo and create a Python venv. AC: 1) repo cloned; 2) .venv created and activated."
Story,Install dependencies,,Local Installation,High,1,installation,"Install runtime dependencies. AC: 1) pip install -r requirements.txt completes with no errors."
Story,Launch the app and verify it loads,,Local Installation,High,1,installation,"Run Streamlit and confirm the UI loads. AC: 1) streamlit run app.py starts; 2) localhost:8501 shows the tracker."
Story,Load demo data and validate the UI,,Local Installation,Medium,1,installation,"Seed demo rows and check the core UI. AC: 1) python seed.py loads sample rows; 2) metrics, table and filters render; 3) demo data cleared before real use."
Story,Create .env from the template,,Configuration,High,1,installation,"Create a local .env file. AC: 1) .env copied from .env.example; 2) confirmed git-ignored."
Story,Set the database location,,Configuration,Medium,1,installation,"Set JOBTRACKER_DB to the intended path. AC: 1) app reads and writes the configured database path."
Story,Configure the import source,,Configuration,Low,1,automation,"Optional. Point JOBTRACKER_IMPORT_DB at the external database. AC: 1) the Import new roles button finds the source."
Story,Inventory and back up existing tracker data,,Data Migration,High,2,data,"Locate the current spreadsheet or data and back it up. AC: 1) source located; 2) backup stored safely; 3) row count noted."
Story,Run the spreadsheet import,,Data Migration,High,2,data,"Import the spreadsheet into jobs.db. AC: 1) migrate.py completes; 2) import summary printed."
Story,Validate migrated data,,Data Migration,High,2,data,"Validate counts and spot-check records. AC: 1) imported count matches expected unique roles; 2) at least 5 records spot-checked against source; 3) links and statuses correct."
Story,Containerize the application,,Shared Deployment,Medium,3,deployment,"Model B. Build a container image. AC: 1) Dockerfile builds; 2) container serves the app on 8501."
Story,Deploy the instance with persistent storage,,Shared Deployment,Medium,3,deployment,"Model B. Run the instance with a persistent volume for jobs.db. AC: 1) app reachable by the team; 2) jobs.db persists across restarts."
Story,Add access control in front of the app,,Shared Deployment,High,3,deployment,"Model B. Streamlit has no built-in auth; restrict access. AC: 1) only authorized users can reach the app; 2) method documented."
Story,Configure automated database backups,,Shared Deployment,High,2,deployment,"Model B. Schedule regular jobs.db backups. AC: 1) scheduled backup runs; 2) a restore has been tested."
Story,Install and connect the Claude in Chrome extension,,Automation Integration,Medium,1,automation,"Optional automation. Install and connect the browser extension. AC: 1) extension installed; 2) connection confirmed."
Story,Generate the job-hunt skill from the prompt,,Automation Integration,Medium,3,automation,"Use examples/generate-job-hunt-skill.md to build the skill. AC: 1) placeholders filled with real criteria; 2) skill created and runnable."
Story,Wire the skill output into the tracker,,Automation Integration,Medium,2,automation,"Connect the skill database to the tracker. AC: 1) JOBTRACKER_IMPORT_DB set or DB shared; 2) import works."
Story,Run an end-to-end job-hunt and import test,,Automation Integration,Medium,2,automation,"Run a real sweep and import. AC: 1) skill finds and logs roles; 2) import brings them in with no duplicates."
Story,Run the automated test suite,,Validation & Acceptance,High,1,validation,"Run pytest and ruff. AC: 1) all tests pass; 2) ruff check is clean."
Story,Smoke-test the core workflows,,Validation & Acceptance,High,2,validation,"Exercise the main user flows. AC: 1) add/edit/delete/save works; 2) filters work; 3) CSV export works."
Story,Verify concurrency behaviour,,Validation & Acceptance,Medium,2,validation,"Confirm WAL concurrency. AC: 1) a write succeeds while the app is open elsewhere; 2) no database is locked errors."
Story,UAT sign-off with the team,,Validation & Acceptance,High,2,validation,"Team validates against real tasks. AC: 1) representative users complete their workflow; 2) sign-off recorded."
Story,Write the team runbook,,Documentation & Handover,Medium,2,docs,"Produce a concise team quickstart or runbook. AC: 1) covers start/stop, add/edit, import, export; 2) reviewed by a non-author."
Story,Define backup and recovery procedure,,Documentation & Handover,High,2,docs,"Document and test backup and restore. AC: 1) procedure written; 2) a restore validated."
Story,Run a team walkthrough,,Documentation & Handover,Medium,2,docs,"Train the team on the tracker. AC: 1) session delivered; 2) questions captured."
Task,Establish support and ownership,,Documentation & Handover,Medium,1,docs,"Assign an owner and a support route. AC: 1) named owner; 2) support channel agreed."
